"Focus (IP, OP, HOD? Primary or Secondary?)",Epic Queue Name,Applications supported,Impacted Service,Key words/functions,Primary area it is used:,It replaced the following:,Special Notes,
"IP - Inpatient, Primary Group",Epic SER,Epic,Epic,"SER numbers, SER, Change Provider, Update to provider, Edit provider information, Add provider, wrong fax number, wrong phone number, wrong address, change contact information, wrong contact, DEA number missing or incorrect for a provider, wrong credentials for provider, wrong title for provider, missing credentials, needs credentials, credential update, ASRL, incorrect doctor code, Misspelled Name, Incorrect Spelling, Getting fax from non-HFHS location, PP wants results in fax or inbasket, new doctor code, new provider number, need h code",,,,
"IP - Inpatient, Primary Group",Epic Beacon,Beacon,Beacon,"Chemotherapy, Oncology, Infusion, Protocol, Regimen, Treatment Plan, Supportive Plan, Therapy Plan, Oncology Research, Cancer
",,,,
"IP - Inpatient, Secondary Group",Epic Training,"ACE, Epic Training environment",EPIC ,"ACE, training environment",,,"This is not a production system; please refer to the Epic Training documentation for support information
",
"IP - Inpatient, Secondary Group",Epic Clarity ETL Admin,Epic Clarity,Epic Clarity,,,,,
"IP - Inpatient, Secondary Group",Epic Clarity Reporting,"All Epic Reporting issues go here, but requests for new reports go through the ITR process!",Epic Clarity,"Issues related to the reports themselves: incorrect formatting of reports, report data incorrect, Issues related to report scheduling / routing, Business Objects issues, Database access, database updating, database maintenance, ETL. Clarity handles scheduled crystal reports that run automatically. ",,,,
"IP - Inpatient, Secondary Group",Epic Facility Structure,Epic,Epic,"Moves, adds, changes, or decommissions that are being asked for related to facilities or departments, facility move, new facility, facility change, facility closing, department move, new department, change department, decommission department, close department
",,,,
"IP - Inpatient, Secondary Group",Epic Data Conversion,,EPIC ,"
",,,,
"IP - Inpatient, Secondary Group",Epic Interface Support,,EDI,"Interface is down, data is not coming through an Epic interface
",,,,
"IP - Inpatient, Secondary Group",Epic Orders,Epic Orders,EPIC,"Can't find order, how to order, missing order
",,,,
"IP - Inpatient, Secondary Group",Epic Data Courier,,Technical Team,"Moving changes from one Epic system to another. If we get calls it'd be from an internal support team and we would assign to the Epic Data Courier team.
",,,,
"IP - Inpatient, Other",Epic transfer to Lab Support,,Epic,"Do not assign tickets here directly unless asked to do so! For Epic lab issues, send to Ambulatory for outpatient labs and Epic Orders for inpatient labs.",,,,
"IP - Inpatient, Other",Not Epic - Sunquest,,,"Asterisk, star, * , imported into Epic lab results causing problems",,,"This problem presents itself in Epic because Epic sees the * as a wildcard, but the origin of the problem is Sunquest
",
"IP - Inpatient, Other",Not Epic - IDX,,,"Radiology
",,,,
"IP - Inpatient, Other",Usually not an Epic queue,ENGA / CPNG Helper,,"ENGA, CPNG Helper, CPNG in Epic, Epic CPNG, Can't access CPNG from Epic",,,"DO NOT SEND TO AMBULATORY.ENGA support information is here: https://hfhs.service-now.com/kb_view.do?sysparm_article=KB15899
",
"IP - Inpatient, Other",Caller must contact supervisor or designee,,,"Void, can't balance drawer, copay entered in error, wrong copay entered",,,,
"IP - Inpatient, Other",Not Epic - CRSI,M*Modal,,Voice recognition software,,Dragon Dictate,"Tickets will either go to Gerard Carmody's queue or CRSI
",
"IP - Inpatient, Other",Not Epic,Glucometers,,"Point-of-Care testing, RALS, Accucheck, Glucometer, Hemochrons, iStats",,,"This is supported by the Point of Care Coordinators. If the user does not know who this is, the list is here: http://henry.hfhs.org/body_depts.cfm?id=989
",
"IP - Inpatient, Other","Assign Interpreter (Foreign Language, Deaf, or Hard of Hearing Interpreter Services)",Not Epic,,"https://hfhs.service-now.com/kb_view.do?sysparm_article=KB15497 - Deaf and hard of hearing access and language interpreter requests for appointments - (313) 916-1896 or CommunicationAccess@hfhs.org 
",,,,
"IP - Inpatient, Other",Epic LWS Record,Epic LWS Record,Epic,"Room number incorrect, room number is wrong, room number not showing, no room numbers, room number problem in Epic
",,,,
HOD,Epic Orders,,,"Physician or Tech: Navigator Missing, Incorrect tools displaying.  Description:  If a physician is reporting seeing the incorrect 'navigators' or 'tools' to complete their documentation it is likely an indication that a Workflow Engine Rule needs to be updated by the Orders team
",,,,
HOD,Epic ClinDoc,,,"Nurse: Navigator Missing, Incorrect tools displaying.  Description:  If a nurse  is reporting seeing the incorrect 'navigators' or 'tools' to complete their documentation it is likely an indication that a Workflow Engine Rule needs to be updated by the Clin Doc team
",,,,
HOD,Epic ClinDoc,,,"No sedation narrator, user unable to document sedation.  Description:  If a nurse or diagtech cannot document sedation information the Clin Doc team likely needs to update the Workflow Engine Rule 
",,,,
HOD,Epic Resolute Hospital Billing,,,"Cost Center, No Cost Center.  Description:  Should a cost center not have been loaded for an HOD department the charges will hit an error queue. This can be fixed by the HB team uploading the proper cost center
",,,,
HOD,Epic Interface Support,,,"RIS, Radiology, Missing charges, Charge Error.  Description:  If charges (technical or professional) are missing from a radiology encounter the ticket should be routed to the interfaces team; the RIS 3rd party system generates all 3rd party charges
",,,,
HOD,Epic Interface Support,,,"Lab, Sunquest, Missing charges, Charge Error.  Description:  If charges are missing from a lab encounter/visit (technical) the ticket should be routed to the interfaces team; all lab charges are generated in Sunquest'
",,,,
HOD,Epic Interface Support,,,"Radiation Oncology, Charges not present, Varian charges not appearing.  Description:  The Varian interface generates all charges for Radiation Oncology (technical) charges. Any issues with generation of technical charges from Rad/Onc should be routed to interfaces
",,,,
HOD,Epic ADT-Prelude,,,"HOD Encounter not closing, Cannot close HOD encounter.  Description:  HOD Encounters are closed via a nightly batch job. If a user is calling regarding an inability to close and HOD encounter on the day off an encounter no action is necessary; if a call is occurring because an encounter has remained open several days after the initial encounter this should be routed to ADT
",,,,
HOD,Epic Orders,,,"HOD Results not appearing, Inbox messages missing.  Description:  Provider likely needs to be added to the results pool (if inbasket routing is appropriate). Orders team can address",,,,
HOD,Epic Orders,,,"HOD Order not complete, unable to click 'complete order' hyperlink.  Description:  If a user is expecting to mark an order 'complete' the orders team will need to investigate the order transmittal rule (OTx) associated with the order
",,,,
HOD,Epic Orders,,,"Charge slip, Unable to Print Charge Slip.  Description:  If a user cannot print a charge slip the order team will likely need to investigate the order transmittal rule (OTx) associated with the order
",,,,
HOD,Epic Security,,,"HOD Charge Entry, Hospital Account, Not Populating, Unable to add Hospital Account.  Description:  Some departments have diagnostic technicians entering charges manually; often the clinical user will not have charge router security points 8002 8003 8005 8006 8113. Adding these to their account should solve the problem",,,,
HOD,Epic Resolute Professional Billing,,,"wq 1589, PB ADMIN RE-PRICING, Charge error, charge caught in work queue.  Description:  Should a charge not be linked to a fee schedule it will hit this work queue. The professional billing team will be able to update this linking appropriately
",,,,
HOD,TBD,,,"Charges from HOD encounters displaying Inpatient Department Specialty.  Description:  Occasionally the department specialty from inpatient will apply to an HOD encounter. HELIOS continues to troubleshoot the issue with Epic
",,,,
